episode_number,Season,EpisodeTitle,Ratings,Viewership,has_guest_stars,rating_category,viewership_category,GuestStars
100,6,Double Date,8.1,7.94,False,Medium-Low,Medium (5-8M),
101,6,Murder,8.7,7.76,False,Medium-High,Medium (5-8M),
102,6,Shareholder Meeting,8.2,7.43,False,Medium-Low,Medium (5-8M),
103,6,Scott's Tots,8.3,8.1,False,Medium-High,High (8M+),
104,6,Secret Santa,8.5,8.51,False,Medium-High,High (8M+),
105,6,The Banker,6.8,7.29,False,Low,Medium (5-8M),
106,6,Sabre,7.7,7.36,True,Medium-Low,Medium (5-8M),Christian Slater
107,6,Manager and Salesman,8.1,7.4,False,Medium-Low,Medium (5-8M),
108,6,The Delivery: Part 1,8.4,9.0,False,Medium-High,High (8M+),
109,6,The Delivery: Part 2,8.5,9.0,True,Medium-High,High (8M+),Mellisa Rauch
110,6,St. Patrick's Day,7.7,7.51,False,Medium-Low,Medium (5-8M),
111,6,New Leads,7.7,7.63,False,Medium-Low,Medium (5-8M),
112,6,Happy Hour,8.6,7.17,False,Medium-High,Medium (5-8M),
113,6,Secretary's Day,7.8,6.3,False,Medium-Low,Medium (5-8M),
114,6,Body Language,8.0,7.01,False,Medium-Low,Medium (5-8M),
115,6,The Cover-Up,8.1,6.84,False,Medium-Low,Medium (5-8M),
116,6,The Chump,7.8,6.6,False,Medium-Low,Medium (5-8M),
117,6,Whistleblower,8.0,6.6,False,Medium-Low,Medium (5-8M),
118,7,Nepotism,8.4,8.4,True,Medium-High,High (8M+),Evan Peters
119,7,Counseling,8.2,7.36,False,Medium-Low,Medium (5-8M),
120,7,Andy's Play,8.2,6.95,False,Medium-Low,Medium (5-8M),
121,7,Sex Ed,7.8,7.36,False,Medium-Low,Medium (5-8M),
122,7,The Sting,7.8,6.87,True,Medium-Low,Medium (5-8M),Timothy Olyphant
123,7,Costume Contest,8.2,8.07,False,Medium-Low,High (8M+),
124,7,Christening,7.4,7.65,False,Medium-Low,Medium (5-8M),
